autores,year,description,section,source
Conaghan,1988,Realizó estudios de casos sobre partidos en Ecuador durante la redemocratización.**,Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Graham,1992,Realizó estudios de casos sobre partidos en Perú durante la redemocratización.**,Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
González,1991,Realizó estudios de casos sobre partidos en Uruguay durante la redemocratización.**,Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Coppedge,1994,Realizó estudios de casos sobre partidos en Venezuela durante la redemocratización.**,Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Taagera y Shugart,1989,"Integraron casos latinoamericanos en debates sobre presidencialismo, comportamiento legislativo y reforma electoral, recopilando datos comparables.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Remmer,1991,"Integraron casos latinoamericanos en debates sobre presidencialismo, comportamiento legislativo y reforma electoral, recopilando datos comparables.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Mainwaring,1993,"Integraron casos latinoamericanos en debates sobre presidencialismo, comportamiento legislativo y reforma electoral, recopilando datos comparables.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Jones,1994,"Integraron casos latinoamericanos en debates sobre presidencialismo, comportamiento legislativo y reforma electoral, recopilando datos comparables.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Mainwaring y Scully,1995a,"Integraron casos latinoamericanos en debates sobre presidencialismo, comportamiento legislativo y reforma electoral, recopilando datos comparables.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
Coppedge,1997b,"Integraron casos latinoamericanos en debates sobre presidencialismo, comportamiento legislativo y reforma electoral, recopilando datos comparables.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
¨Coppedge M.(1998),1900,"El texto describe la evolución del estudio de los partidos políticos y sistemas de partidos en América Latina, dividida en cuatro etapas: (1) predominio del caudillismo (siglo XIX-1960), con Chile como excepción; (2) reconocimiento de nuevos partidos posguerra (1960-1967), como los 'Aprista' y estudios institucionales; (3) declive del interés por los partidos (finales 1960-1980) debido a gobiernos militares y radicalización; (4) resurgimiento con la redemocratización (mediados 1980), generando estudios comparativos y tipologías basadas en institucionalización y fragmentación. La nueva sabiduría convencional clasifica sistemas en institucionalizados (ej. Costa Rica, Uruguay pre-1971) vs. incipientes (ej. Ecuador, Bolivia), pero se critica por ignorar la sustancia política (ideología, polarización) y la alta volatilidad que dificulta generalizaciones. Se propone analizar elecciones individuales en lugar de promedios históricos para mayor precisión.**",Coppedge M.(1998)_The Development of the Conventional Wisdom,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001016897&doi=10.1177%2f1354068898004004007&partnerID=40&md5=7b2cda9e65ffc32a4379bb8679f2b07a
